"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_and_shape","correct"
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","parallelogram","no","rectangle",1,"pretest","parallelogram_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rectangle","no","rhombus",2,"pretest","rectangle_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rhombus","no","rectangle",3,"pretest","rhombus_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rhombus","no","square",4,"pretest","rhombus_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","square","no","rhombus",5,"pretest","square_rhombus",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","square","no","parallelogram",6,"pretest","square_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rectangle","no","square",7,"pretest","rectangle_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","parallelogram","no","rhombus",8,"pretest","parallelogram_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","parallelogram","no","square",9,"pretest","parallelogram_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","square","no","rectangle",10,"pretest","square_rectangle",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rhombus","no","parallelogram",11,"pretest","rhombus_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rectangle","no","parallelogram",12,"pretest","rectangle_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","rhombus",1,"pretest","parallelogram_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","rectangle",2,"pretest","parallelogram_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","yes","parallelogram",3,"pretest","parallelogram_parallelogram",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","square",4,"pretest","parallelogram_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","square",5,"pretest","rhombus_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","parallelogram",6,"pretest","rhombus_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","yes","rhombus",7,"pretest","rhombus_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","rectangle",8,"pretest","rhombus_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","yes","square",9,"pretest","square_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","parallelogram",10,"pretest","square_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","rhombus",11,"pretest","square_rhombus",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","rectangle",12,"pretest","square_rectangle",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","square",13,"pretest","rectangle_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","parallelogram",14,"pretest","rectangle_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","yes","rectangle",15,"pretest","rectangle_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","rhombus",16,"pretest","rectangle_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","square","yes","rhombus",1,"posttest","square_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rectangle","no","square",2,"posttest","rectangle_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","parallelogram","no","square",3,"posttest","parallelogram_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","parallelogram","no","rhombus",4,"posttest","parallelogram_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","parallelogram","yes","rectangle",5,"posttest","parallelogram_rectangle",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","square","no","rectangle",6,"posttest","square_rectangle",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rhombus","no","rectangle",7,"posttest","rhombus_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rectangle","no","rhombus",8,"posttest","rectangle_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rhombus","no","square",9,"posttest","rhombus_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rectangle","no","parallelogram",10,"posttest","rectangle_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","square","no","parallelogram",11,"posttest","square_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"relational","rhombus","no","parallelogram",12,"posttest","rhombus_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","rhombus",1,"posttest","rectangle_rhombus",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","parallelogram",2,"posttest","rectangle_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","rectangle",3,"posttest","rectangle_rectangle",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rectangle","no","square",4,"posttest","rectangle_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","parallelogram",5,"posttest","rhombus_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","square",6,"posttest","rhombus_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","rectangle",7,"posttest","rhombus_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","rhombus","no","rhombus",8,"posttest","rhombus_rhombus",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","square",9,"posttest","square_square",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","rhombus",10,"posttest","square_rhombus",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","rectangle",11,"posttest","square_rectangle",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","square","no","parallelogram",12,"posttest","square_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","square",13,"posttest","parallelogram_square",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","rectangle",14,"posttest","parallelogram_rectangle",TRUE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","parallelogram",15,"posttest","parallelogram_parallelogram",FALSE
1,"22","f","thanks so much!","how people perceive shapes.",2016-01-21 19:03:11,520799,"passive_passive","rhombus",447046,"entity","parallelogram","no","rhombus",16,"posttest","parallelogram_rhombus",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","square","no","rectangle",1,"pretest","square_rectangle",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","square","no","rhombus",2,"pretest","square_rhombus",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","parallelogram","yes","rhombus",3,"pretest","parallelogram_rhombus",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","rhombus","no","rectangle",4,"pretest","rhombus_rectangle",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","rhombus","yes","parallelogram",5,"pretest","rhombus_parallelogram",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","rectangle","yes","rhombus",6,"pretest","rectangle_rhombus",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","parallelogram","yes","square",7,"pretest","parallelogram_square",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","rectangle","no","parallelogram",8,"pretest","rectangle_parallelogram",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","rhombus","yes","square",9,"pretest","rhombus_square",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","parallelogram","yes","rectangle",10,"pretest","parallelogram_rectangle",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","rectangle","no","square",11,"pretest","rectangle_square",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"relational","square","yes","parallelogram",12,"pretest","square_parallelogram",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","parallelogram","yes","rectangle",1,"pretest","parallelogram_rectangle",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","parallelogram","no","rhombus",2,"pretest","parallelogram_rhombus",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","parallelogram","yes","square",3,"pretest","parallelogram_square",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","parallelogram","yes","parallelogram",4,"pretest","parallelogram_parallelogram",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","rhombus","no","square",5,"pretest","rhombus_square",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","rhombus","no","rectangle",6,"pretest","rhombus_rectangle",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","rhombus","yes","parallelogram",7,"pretest","rhombus_parallelogram",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","rhombus","no","rhombus",8,"pretest","rhombus_rhombus",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","square","no","rectangle",9,"pretest","square_rectangle",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","square","yes","rhombus",10,"pretest","square_rhombus",TRUE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","square","no","parallelogram",11,"pretest","square_parallelogram",FALSE
2,"27","Male","","Learning to determine rhombuses.",2016-01-21 18:54:15,207463,"passive_passive","rhombus",24419,"entity","square","yes","square",12,"pretest","square_square",TRUE
