"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_old","question_and_shape","correct"
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","rectangle","no","square",1,"pretest","rectangle","rectangle_square",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","rhombus","no","rectangle",2,"pretest","rhombus","rhombus_rectangle",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","parallelogram","no","square",3,"pretest","parallelogram","parallelogram_square",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","rhombus","no","square",4,"pretest","rhombus","rhombus_square",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","rhombus","no","parallelogram",5,"pretest","rhombus","rhombus_parallelogram",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","square","no","rhombus",6,"pretest","square","square_rhombus",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","square","no","rectangle",7,"pretest","square","square_rectangle",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","rectangle","no","parallelogram",8,"pretest","rectangle","rectangle_parallelogram",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","parallelogram","no","rhombus",9,"pretest","parallelogram","parallelogram_rhombus",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","rectangle","no","rhombus",10,"pretest","rectangle","rectangle_rhombus",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","parallelogram","no","rectangle",11,"pretest","parallelogram","parallelogram_rectangle",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"relational","square","no","parallelogram",12,"pretest","square","square_parallelogram",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","rectangle","yes","parallelogram",1,"pretest","parallelogram","rectangle_parallelogram",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","square","yes","parallelogram",2,"pretest","parallelogram","square_parallelogram",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","parallelogram","yes","parallelogram",3,"pretest","parallelogram","parallelogram_parallelogram",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","rhombus","yes","parallelogram",4,"pretest","parallelogram","rhombus_parallelogram",TRUE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","rhombus","no","rhombus",5,"pretest","rhombus","rhombus_rhombus",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","parallelogram","yes","rhombus",6,"pretest","rhombus","parallelogram_rhombus",FALSE
1,"28","male","","shapes",2016-01-24 21:55:41,141402,"active_passive","rhombus",21541,"entity","square","no","rhombus",7,"pretest","rhombus","square_rhombus",FALSE
