"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_and_shape","correct"
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rhombus","yes","parallelogram",1,"pretest","rhombus_parallelogram",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","parallelogram","no","rhombus",2,"pretest","parallelogram_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","parallelogram","no","rectangle",3,"pretest","parallelogram_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rectangle","no","parallelogram",4,"pretest","rectangle_parallelogram",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rectangle","no","rhombus",5,"pretest","rectangle_rhombus",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rectangle","no","square",6,"pretest","rectangle_square",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","square","no","rectangle",7,"pretest","square_rectangle",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","square","no","parallelogram",8,"pretest","square_parallelogram",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","square","no","rhombus",9,"pretest","square_rhombus",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rhombus","no","rectangle",10,"pretest","rhombus_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","rhombus","yes","square",11,"pretest","rhombus_square",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"relational","parallelogram","yes","square",12,"pretest","parallelogram_square",FALSE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rectangle","yes","square",1,"pretest","square_rectangle",TRUE
1,"27","m","no ","testing",2016-01-24 20:39:15,75104,"active_passive","rhombus",5770,"entity","rectangle","yes","parallelogram",2,"pretest","parallelogram_rectangle",FALSE
