"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_and_shape","correct"
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","parallelogram","no","rhombus",1,"pretest","parallelogram_rhombus",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","square","yes","parallelogram",2,"pretest","square_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","rectangle","yes","parallelogram",3,"pretest","rectangle_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","rhombus","yes","parallelogram",4,"pretest","rhombus_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","rhombus","no","rectangle",5,"pretest","rhombus_rectangle",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","square","yes","rectangle",6,"pretest","square_rectangle",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","rectangle","no","square",7,"pretest","rectangle_square",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","square","no","rhombus",8,"pretest","square_rhombus",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","parallelogram","yes","square",9,"pretest","parallelogram_square",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","parallelogram","yes","rectangle",10,"pretest","parallelogram_rectangle",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","rectangle","yes","rhombus",11,"pretest","rectangle_rhombus",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"relational","rhombus","no","square",12,"pretest","rhombus_square",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rhombus","yes","rectangle",1,"pretest","rectangle_rhombus",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rhombus","yes","rhombus",2,"pretest","rhombus_rhombus",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rhombus","yes","square",3,"pretest","square_rhombus",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rhombus","yes","parallelogram",4,"pretest","parallelogram_rhombus",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","parallelogram","yes","rectangle",5,"pretest","rectangle_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","parallelogram","yes","square",6,"pretest","square_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","parallelogram","yes","parallelogram",7,"pretest","parallelogram_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","parallelogram","yes","rhombus",8,"pretest","rhombus_parallelogram",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rectangle","no","square",9,"pretest","square_rectangle",FALSE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rectangle","no","parallelogram",10,"pretest","parallelogram_rectangle",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rectangle","no","rhombus",11,"pretest","rhombus_rectangle",TRUE
1,"40","m","no","learning from interactive visual information",2016-01-22 03:29:35,235762,"passive_passive","rhombus",35230,"entity","rectangle","yes","rectangle",12,"pretest","rectangle_rectangle",TRUE
